# Version 1.00
#
freq[Hz];RF_Refl_S11[dB];
1.130000000000000E+09;-3.866642087620358E-01;
1.140000000000000E+09;-3.921981855891674E-01;
1.150000000000000E+09;-4.024616755298110E-01;
1.160000000000000E+09;-4.177466359274383E-01;
1.170000000000000E+09;-4.316134731118953E-01;
1.180000000000000E+09;-4.467067992680099E-01;
1.190000000000000E+09;-4.591166006206695E-01;
1.200000000000000E+09;-4.691613490235002E-01;
1.210000000000000E+09;-4.762676135628378E-01;
1.220000000000000E+09;-4.757924263027379E-01;
1.230000000000000E+09;-4.727202245252051E-01;
1.240000000000000E+09;-4.611636124638714E-01;
1.250000000000000E+09;-4.510164731425453E-01;
1.260000000000000E+09;-4.366093801463603E-01;
1.270000000000000E+09;-4.245997572597928E-01;
1.280000000000000E+09;-4.091301834966276E-01;
1.290000000000000E+09;-4.019140953668257E-01;
1.300000000000000E+09;-3.948984728572585E-01;
1.310000000000000E+09;-3.949216623955203E-01;
1.320000000000000E+09;-3.983673169475047E-01;
1.330000000000000E+09;-4.050992387430574E-01;
1.340000000000000E+09;-4.186462607256634E-01;
1.350000000000000E+09;-4.353741181134045E-01;
1.360000000000000E+09;-4.517900453726772E-01;
1.370000000000000E+09;-4.729500594001305E-01;
1.380000000000000E+09;-4.959624444980365E-01;
1.390000000000000E+09;-5.088193533657550E-01;
1.400000000000000E+09;-5.161156359100235E-01;
1.410000000000000E+09;-5.208657585890570E-01;
1.420000000000000E+09;-5.101332609714324E-01;
1.430000000000000E+09;-4.992459141586674E-01;
1.440000000000000E+09;-4.759577923414466E-01;
1.450000000000000E+09;-4.538878461356469E-01;
1.460000000000000E+09;-4.237868422293142E-01;
1.470000000000000E+09;-3.979429222603412E-01;
1.480000000000000E+09;-3.751186400041855E-01;
1.490000000000000E+09;-3.656968753155520E-01;
1.500000000000000E+09;-3.648162159638180E-01;
1.510000000000000E+09;-3.785139141400822E-01;
1.520000000000000E+09;-3.956901532113438E-01;
1.530000000000000E+09;-4.285185798151764E-01;
1.540000000000000E+09;-4.616942715165555E-01;
1.550000000000000E+09;-4.986498971172190E-01;
1.560000000000000E+09;-5.371337789368453E-01;
1.570000000000000E+09;-5.680364268185591E-01;
1.580000000000000E+09;-5.911501271369680E-01;
1.590000000000000E+09;-6.026722799870288E-01;
1.600000000000000E+09;-5.927316941930809E-01;
1.610000000000000E+09;-5.818531885876714E-01;
1.620000000000000E+09;-5.471481408387070E-01;
1.630000000000000E+09;-5.183239261876376E-01;
1.640000000000000E+09;-4.783718862722287E-01;
1.650000000000000E+09;-4.495795088430943E-01;
1.660000000000000E+09;-4.298932912786972E-01;
1.670000000000000E+09;-4.284868740998359E-01;
1.680000000000000E+09;-4.376571329101170E-01;
1.690000000000000E+09;-4.667195231521529E-01;
1.700000000000000E+09;-5.021571105921860E-01;
1.710000000000000E+09;-5.482444976781369E-01;
1.720000000000000E+09;-5.903334192745502E-01;
1.730000000000000E+09;-6.325338614013437E-01;
1.740000000000000E+09;-6.607786221583469E-01;
1.750000000000000E+09;-6.780688938140131E-01;
1.760000000000000E+09;-6.720911473654722E-01;
1.770000000000000E+09;-6.635052051617303E-01;
1.780000000000000E+09;-6.331284056011278E-01;
1.790000000000000E+09;-5.943411592578762E-01;
1.800000000000000E+09;-5.441884325625130E-01;
1.810000000000000E+09;-4.966756686543455E-01;
1.820000000000000E+09;-4.493843191786384E-01;
1.830000000000000E+09;-4.070318131344283E-01;
1.840000000000000E+09;-3.687455753581031E-01;
1.850000000000000E+09;-3.511215455040601E-01;
1.860000000000000E+09;-3.383032941394392E-01;
1.870000000000000E+09;-3.729930337285073E-01;
1.880000000000000E+09;-4.082824563227089E-01;
1.890000000000000E+09;-4.724864820727270E-01;
1.900000000000000E+09;-5.356669532509012E-01;
1.910000000000000E+09;-5.591236338951944E-01;
1.920000000000000E+09;-5.900255208015980E-01;
1.930000000000000E+09;-5.983717752151716E-01;
1.940000000000000E+09;-5.822000404500912E-01;
1.950000000000000E+09;-5.760856100170906E-01;
1.960000000000000E+09;-5.514986208093013E-01;
1.970000000000000E+09;-5.359829791473735E-01;
1.980000000000000E+09;-5.173541785106551E-01;
1.990000000000000E+09;-5.088247633686876E-01;
2.000000000000000E+09;-5.055233312383945E-01;
2.010000000000000E+09;-5.021241502472498E-01;
2.020000000000000E+09;-4.985601647615531E-01;
2.030000000000000E+09;-5.109848999053417E-01;
2.040000000000000E+09;-5.162556520259640E-01;
2.050000000000000E+09;-5.325203028047151E-01;
2.060000000000000E+09;-5.484920789732273E-01;
2.070000000000000E+09;-5.653542992565320E-01;
2.080000000000000E+09;-5.822448732565454E-01;
2.090000000000000E+09;-5.956036633077668E-01;
2.100000000000000E+09;-5.980004115436685E-01;
2.110000000000000E+09;-6.111080948979143E-01;
2.120000000000000E+09;-6.098532198934796E-01;
2.130000000000000E+09;-6.192320704381320E-01;
2.140000000000000E+09;-6.217701655743575E-01;
2.150000000000000E+09;-6.281641804244589E-01;
2.160000000000000E+09;-6.307083094925549E-01;
2.170000000000000E+09;-6.380777151663553E-01;
2.180000000000000E+09;-6.364231945423261E-01;
2.190000000000000E+09;-6.412952222981798E-01;
2.200000000000000E+09;-6.219290346661464E-01;
2.210000000000000E+09;-6.131018898107669E-01;
2.220000000000000E+09;-5.809827682048889E-01;
2.230000000000000E+09;-5.538175421544916E-01;
2.240000000000000E+09;-5.225328024266518E-01;
2.250000000000000E+09;-5.015880601652892E-01;
2.260000000000000E+09;-4.892560310196103E-01;
2.270000000000000E+09;-4.960369118418145E-01;
2.280000000000000E+09;-5.155066029561977E-01;
2.290000000000000E+09;-5.549861867276835E-01;
2.300000000000000E+09;-6.018214012313686E-01;
2.310000000000000E+09;-6.661760775384906E-01;
2.320000000000000E+09;-7.279757051903080E-01;
2.330000000000000E+09;-7.879714651571514E-01;
2.340000000000000E+09;-8.333771174887925E-01;
2.350000000000000E+09;-8.640649108020060E-01;
2.360000000000000E+09;-8.620345544800627E-01;
2.370000000000000E+09;-8.460637570546525E-01;
2.380000000000000E+09;-7.930145480802013E-01;
2.390000000000000E+09;-7.343024783359193E-01;
2.400000000000000E+09;-6.562691926906459E-01;
2.410000000000000E+09;-5.851140762293032E-01;
2.420000000000000E+09;-5.207950080424133E-01;
2.430000000000000E+09;-4.802099499396557E-01;
2.440000000000000E+09;-4.567045292422236E-01;
2.450000000000000E+09;-4.810986834325706E-01;
2.460000000000000E+09;-5.105725486298317E-01;
2.470000000000000E+09;-5.926264908037076E-01;
2.480000000000000E+09;-6.713309012954521E-01;
2.490000000000000E+09;-7.539360327351758E-01;
2.500000000000000E+09;-8.562976178878677E-01;
